Gender,breakfast,calories_day,coffee,comfort_food_reasons_coded,cook,diet_current_coded,drink,exercise,fav_food,fruit_day,healthy_feeling,soup,sports,veggies_day,waffle_calories
2,1,nan,1,9,2,1,1,1,1,5,2,1,1,5,1315
1,1,3,2,1,3,2,2,1,1,4,5,1,1,4,900
1,1,4,2,1,1,3,1,2,3,5,6,1,2,5,900
1,1,3,2,2,2,2,2,3,1,4,7,1,2,3,1315
1,1,2,2,1,1,2,2,1,3,4,6,1,1,4,760
1,1,3,2,4,3,2,2,2,3,2,4,1,2,1,1315
2,1,3,2,1,2,3,1,1,1,4,4,1,1,4,1315
1,1,3,1,1,3,1,2,2,1,5,3,1,2,4,1315
1,1,nan,1,2,3,1,1,nan,3,4,7,2,2,3,760
1,1,3,2,1,3,1,1,1,1,5,3,1,1,5,900
1,1,3,2,2,1,1,2,1,1,5,9,1,1,5,900
1,1,4,2,3,3,1,1,1,1,5,1,1,1,5,900
2,1,3,2,3,5,1,2,3,3,4,9,2,1,3,575
1,1,3,2,1,2,2,2,2,1,5,8,1,1,5,1315
2,1,3,2,2,3,1,2,2,3,5,2,1,1,5,900
2,2,nan,2,2,4,2,2,1,2,3,6,2,1,1,1315
1,1,3,1,1,3,1,1,2,1,5,7,1,2,5,760
2,1,3,2,2,3,3,2,1,3,3,8,1,1,4,900
1,1,3,1,3,3,1,1,3,3,5,6,2,2,5,1315
2,1,2,2,2,4,2,2,2,1,2,4,1,nan,2,900
2,1,3,2,7,5,2,2,1,3,2,5,1,1,3,1315
2,1,3,1,2,3,2,nan,1,2,3,8,2,1,2,900
2,1,3,1,3,5,1,1,1,1,4,2,1,1,3,1315
2,2,3,2,1,4,1,1,3,1,3,4,1,1,4,1315
1,1,2,2,6,1,1,2,nan,1,4,5,2,2,4,1315
1,2,3,2,2,3,1,1,1,3,4,8,1,1,3,760
2,1,2,1,2,3,1,1,1,1,3,9,2,1,3,1315
2,1,4,2,2,4,1,2,1,1,5,9,1,1,5,1315
2,1,2,2,2,2,2,1,2,1,3,4,1,2,2,1315
2,1,2,2,2,3,2,2,2,1,5,9,1,2,4,760
1,1,3,2,1,3,1,1,2,2,3,7,2,1,5,1315
2,1,3,2,1,2,2,2,2,1,5,5,2,2,5,1315
2,1,3,2,4,5,2,2,nan,nan,4,5,1,1,5,760
1,1,3,1,2,4,2,1,3,1,3,7,1,2,3,900
1,1,3,2,2,4,2,1,1,3,5,1,1,1,4,1315
1,1,2,2,2,1,3,1,1,1,5,2,1,1,5,760
1,1,3,2,2,3,2,2,1,3,5,7,2,1,5,900
1,1,4,2,1,2,2,2,3,1,3,4,1,1,4,1315
1,1,3,2,2,3,1,1,2,1,4,6,1,1,3,1315
2,1,nan,2,9,5,2,2,1,1,5,3,1,1,3,1315
2,1,3,1,3,3,3,2,1,1,3,10,1,1,4,760
1,1,4,2,5,2,4,1,1,1,5,6,1,2,5,1315
1,1,3,2,2,4,2,2,nan,1,5,6,1,2,4,900
1,1,2,1,3,3,2,1,nan,3,4,6,2,2,4,900
1,1,4,2,1,1,1,1,1,1,5,8,1,1,5,760
1,1,3,2,4,3,1,1,nan,1,5,3,1,2,5,900
2,1,2,1,3,3,2,2,2,1,4,4,1,1,4,900
2,1,nan,2,2,4,2,1,1,3,5,8,1,1,5,900
2,2,nan,1,1,4,2,2,1,1,5,2,2,1,5,760
2,1,3,2,5,3,2,1,2,1,3,9,2,2,3,900
2,1,3,2,1,5,1,1,1,2,4,8,1,2,5,760
2,1,4,1,5,3,4,1,1,1,5,8,1,1,4,1315
2,1,4,2,2,1,3,1,1,1,5,1,2,1,5,900
2,1,nan,2,2,4,4,2,nan,3,4,5,1,2,4,1315
2,1,3,2,1,1,1,1,1,1,5,10,1,1,5,900
1,2,2,2,2,3,2,2,1,1,4,8,1,1,4,900
2,1,4,2,2,3,1,1,1,1,5,1,1,1,5,1315
1,1,4,2,9,2,1,1,1,3,4,9,2,1,4,1315
1,1,3,2,1,1,3,2,2,1,5,4,1,1,5,1315
1,1,nan,2,2,2,3,2,nan,3,5,7,2,1,4,1315
1,1,4,2,3,2,1,2,1,1,5,3,1,1,5,1315
1,1,2,2,3,2,1,1,2,2,3,2,2,2,3,1315
2,1,4,2,2,3,1,1,1,1,4,2,1,1,4,1315
1,1,4,2,3,3,1,nan,1,1,5,8,nan,1,5,1315
1,1,3,1,2,1,1,1,1,3,5,3,2,1,5,760
1,1,nan,2,2,2,2,1,2,3,3,3,1,2,3,900
1,1,3,1,3,2,1,2,nan,1,5,3,1,1,5,900
1,1,2,1,2,4,2,2,2,1,5,2,1,1,5,1315
1,1,3,1,1,3,1,2,1,1,5,8,1,1,5,760
1,2,4,2,2,2,2,2,2,1,3,3,2,2,5,1315
1,1,3,2,2,3,1,1,2,1,5,3,1,1,5,1315
1,1,nan,2,2,2,1,1,1,1,5,5,1,1,5,1315
2,2,3,2,2,3,2,2,2,2,5,3,1,2,5,1315
2,1,4,2,2,1,2,2,1,1,3,1,1,1,4,1315
2,2,2,1,9,2,4,2,2,2,4,8,1,2,4,760
1,1,3,2,3,3,1,1,1,1,5,6,1,2,4,900
1,2,3,1,2,2,2,2,2,3,4,4,2,1,2,1315
2,2,2,1,2,2,2,2,2,2,3,4,2,1,2,900
1,1,3,2,1,2,3,1,1,1,5,8,1,1,4,1315
2,1,3,2,2,5,2,2,1,1,5,1,1,1,4,1315
1,1,2,2,7,3,2,2,2,3,3,4,1,2,2,900
1,2,3,1,2,3,2,2,1,1,4,2,2,1,2,900
1,1,nan,2,2,nan,4,2,1,1,3,8,1,1,3,575
1,1,3,2,2,2,2,1,nan,1,4,4,1,1,4,1315
1,1,3,2,3,1,1,2,1,3,5,9,1,1,5,760
1,1,3,2,1,3,3,2,3,3,5,7,1,2,4,760
1,1,3,2,2,2,1,2,2,3,5,3,1,1,4,900
2,1,3,1,3,4,2,2,1,2,4,5,1,1,4,1315
2,2,4,2,9,nan,2,2,1,1,4,7,1,2,4,1315
1,1,3,2,1,3,2,1,1,1,5,7,1,2,5,900
2,1,4,2,2,4,1,2,1,1,5,7,2,1,4,1315
1,2,2,2,2,2,2,2,2,3,2,5,1,2,1,900
2,2,nan,2,1,2,2,2,3,1,1,8,1,1,4,900
2,1,nan,2,2,4,2,2,3,1,4,6,1,2,5,1315
2,1,3,2,5,2,1,2,1,1,5,7,1,1,5,1315
2,1,nan,2,2,3,2,2,1,3,4,10,2,1,4,1315
2,1,3,2,7,2,2,2,2,3,3,2,1,2,2,900
1,1,3,2,2,3,1,2,1,1,5,1,1,1,5,760
2,1,3,1,3,4,2,2,2,nan,5,8,1,1,4,1315
1,1,4,1,3,4,2,1,nan,1,5,3,1,1,5,900
1,1,3,2,3,3,1,1,2,1,5,2,1,1,5,900
1,1,nan,2,2,3,2,2,3,3,5,3,1,2,5,1315
1,1,4,2,3,2,1,2,1,3,5,7,1,2,5,900
1,1,3,2,8,2,1,1,2,1,5,4,1,2,5,760
1,1,3,2,2,4,2,2,nan,3,4,9,2,2,5,1315
1,1,3,2,2,3,2,2,2,3,3,2,2,1,2,1315
1,1,3,2,,2,1,1,2,1,5,7,1,2,5,760
1,1,3,1,,2,1,1,1,3,4,5,1,2,4,900
1,1,2,2,,5,1,2,1,2,5,6,1,1,5,760
1,1,3,2,,2,2,2,3,2,4,5,1,2,3,1315
1,1,3,1,,3,2,1,2,1,3,8,1,1,3,900
2,1,2,2,,2,1,2,2,1,3,9,1,2,3,1315
1,1,4,2,,1,1,1,1,3,5,10,1,2,3,900
1,1,2,1,,2,2,2,2,1,4,9,1,2,2,900
2,1,3,2,,3,2,2,2,3,4,7,1,1,3,760
2,1,4,2,,4,2,2,1,3,5,10,1,1,2,1315
1,1,nan,2,,3,2,1,2,2,5,5,1,2,5,1315
1,1,nan,2,,3,1,1,nan,3,3,9,1,2,3,760
1,1,3,1,,3,2,1,2,1,5,5,1,2,5,1315
2,1,3,2,,2,2,1,2,3,5,7,1,1,5,1315
1,1,4,2,,3,2,2,2,1,5,5,1,1,5,1315
1,1,2,2,,3,2,1,2,1,4,5,1,nan,5,1315
1,1,nan,1,,3,2,1,2,1,4,6,1,2,4,1315
2,1,4,1,,3,1,2,1,3,5,1,2,2,3,1315
1,1,nan,2,,nan,1,1,2,1,3,3,1,2,4,575
